"host_id","host_name","host_url","host_total_listings_count","number_of_reviews","dirty_review_count","review_scores_cleanliness_clean","review_scores_rating_clean"
"13056751",Eleni,https://www.airbnb.com/users/show/13056751,"1","67",7,4.15,4.48
"13456636",Cathy,https://www.airbnb.com/users/show/13456636,"1"," ""Free street parking""",7,0.0,0.0
"1354796",Natasha,https://www.airbnb.com/users/show/1354796,"9","81",7,4.15,4.42
"1411399",Carlos,https://www.airbnb.com/users/show/1411399,"29","19",7,4.32,4.71
"1451723",Bia,https://www.airbnb.com/users/show/1451723,"2","261",7,4.37,4.47
"16954768",Hugo,https://www.airbnb.com/users/show/16954768,"8","193",7,4.49,4.56
"19195540",Dor,https://www.airbnb.com/users/show/19195540,"4","165",7,4.73,4.73
"20729128",Bryan,https://www.airbnb.com/users/show/20729128,"3","101",7,4.83,4.68
"2237267",Marjorie,https://www.airbnb.com/users/show/2237267,"1","113",7,4.85,4.78
"22572797",Amy,https://www.airbnb.com/users/show/22572797,"2","222",7,4.5,4.55
"23533897",Fatou,https://www.airbnb.com/users/show/23533897,"7","85",7,4.74,4.67
"248490",Leecia,https://www.airbnb.com/users/show/248490,"2","137",7,4.74,4.89
"2530670",Tiffany,https://www.airbnb.com/users/show/2530670,"1","217",7,4.94,4.88
"289653",Harrison,https://www.airbnb.com/users/show/289653,"3","109",7,4.16,4.38
"2920855",Theodore,https://www.airbnb.com/users/show/2920855,"1","9",7,4.67,4.89
"31204745",Monika,https://www.airbnb.com/users/show/31204745,"7","295",7,4.99,4.95
"31534322",Nia,https://www.airbnb.com/users/show/31534322,"4","77",7,4.7,4.64
"3339701",Angelo,https://www.airbnb.com/users/show/3339701,"9","194",7,4.52,4.4
"33622924",Fredrick,https://www.airbnb.com/users/show/33622924,"4","157",7,4.46,4.43
"3370169",Lydia,https://www.airbnb.com/users/show/3370169,"1","151",7,4.62,4.71
"3371859",Jenny & Jose,https://www.airbnb.com/users/show/3371859,"6","147",7,4.37,4.47
"3560446",Jay,https://www.airbnb.com/users/show/3560446,"1","72",7,4.31,4.72
"35819315",Jon & Hui,https://www.airbnb.com/users/show/35819315,"2","216",7,4.93,4.83
"37291339",Latoya,https://www.airbnb.com/users/show/37291339,"1","96",7,4.51,4.34
"40124500",Regina,https://www.airbnb.com/users/show/40124500,"2","91",7,5.0,4.96
"40176101",Brady,https://www.airbnb.com/users/show/40176101,"8","380",7,4.84,4.82
"40640586",Gary,https://www.airbnb.com/users/show/40640586,"2","283",7,4.89,4.85
"40895328",Will & Yenn,https://www.airbnb.com/users/show/40895328,"3", glasses,7,0.0,0.0
"4204890",Martin,https://www.airbnb.com/users/show/4204890,"1","213",7,4.37,4.68
"4310378",Autumn,https://www.airbnb.com/users/show/4310378,"3","148",7,4.55,4.73
"4358264",Sole,https://www.airbnb.com/users/show/4358264,"1","141",7,4.79,4.74
"4425694",Gregory,https://www.airbnb.com/users/show/4425694,"4","356",7,4.52,4.7
"4504962",Judith,https://www.airbnb.com/users/show/4504962,"1","137",7,4.54,4.69
"45600001",Amy,https://www.airbnb.com/users/show/45600001,"6","137",7,4.57,4.57
"45955013",Jason,https://www.airbnb.com/users/show/45955013,"1","266",7,4.91,4.9
"47554473",Henry Norman,https://www.airbnb.com/users/show/47554473,"19","50",7,4.96,4.86
"51716739",Harvin,https://www.airbnb.com/users/show/51716739,"10","262",7,4.83,4.89
"5454390",Tracy & Matt,https://www.airbnb.com/users/show/5454390,"4","294",7,4.37,4.6
"5668786",Ed &Alexa,https://www.airbnb.com/users/show/5668786,"1", yet for less $?<br /><br />IMPORTANT NOTE: PLEASE REMEMBER TO TURN OFF THE AC IN YOUR ROOM WHEN YOU LEAVE THE HOUSE. <br /><br />This house is located the trendy hood called Brooklyn Lefferts Garden. This room is part of the house that's based in multi-ethnic,7,0.0,0.0
"6040624",Dan,https://www.airbnb.com/users/show/6040624,"1","190",7,4.98,4.97
"61391963",Stay With Vibe,https://www.airbnb.com/users/show/61391963,"208","14",7,4.43,4.57
"6334250",Shaila & Alex,https://www.airbnb.com/users/show/6334250,"1","283",7,4.78,4.69
"67261284",Dante,https://www.airbnb.com/users/show/67261284,"2","71",7,4.71,4.77
"7245581",Michael,https://www.airbnb.com/users/show/7245581,"24","48",7,4.1,4.19
"7256281",Sne,https://www.airbnb.com/users/show/7256281,"4","592",7,4.9,4.95
"73583445",Michael,https://www.airbnb.com/users/show/73583445,"1","257",7,4.7,4.61
"806214",Vanessa,https://www.airbnb.com/users/show/806214,"2","157",7,4.34,4.47
"820011",Ike,https://www.airbnb.com/users/show/820011,"4","80",7,4.27,4.29
"9744",Laurie,https://www.airbnb.com/users/show/9744,"3","216",7,4.61,4.7
"9777215",Theresa,https://www.airbnb.com/users/show/9777215,"6","148",7,4.91,4.85
"9946315",Susan,https://www.airbnb.com/users/show/9946315,"1","111",7,4.93,4.99
"11333699",Clifton,https://www.airbnb.com/users/show/11333699,"5","358",6,4.53,4.57
"1360043",Adrienne,https://www.airbnb.com/users/show/1360043,"1","143",6,4.83,4.85
"13611255",Lamee,https://www.airbnb.com/users/show/13611255,"4","61",6,4.77,4.51
"13649613","Rossy,  Carmen And Juan",https://www.airbnb.com/users/show/13649613,"9","168",6,4.61,4.79
"1366310",Janina,https://www.airbnb.com/users/show/1366310,"2","285",6,4.86,4.79
"14565422",Janelle,https://www.airbnb.com/users/show/14565422,"6","97",6,4.56,4.57
"148014",Bria,https://www.airbnb.com/users/show/148014,"3","80",6,3.66,4.17
"15163256",Faigie,https://www.airbnb.com/users/show/15163256,"6","122",6,4.55,4.71
"15991",Allen & Irina,https://www.airbnb.com/users/show/15991,"1","185",6,4.85,4.56
"1600541",Marina,https://www.airbnb.com/users/show/1600541,"6","97",6,4.69,4.51
"16266298",Caroline,https://www.airbnb.com/users/show/16266298,"3","119",6,4.78,4.8
"16514175",Hector Sr,https://www.airbnb.com/users/show/16514175,"4","211",6,4.74,4.72
"16777963",Dave,https://www.airbnb.com/users/show/16777963,"1","118",6,4.68,4.84
"17264040",Junior,https://www.airbnb.com/users/show/17264040,"21", and even closer to express bus stops. Our tree lined street is quiet at night,6,0.0,0.0
"17389236",Emilie,https://www.airbnb.com/users/show/17389236,"1","188",6,4.92,4.91
"17770287",Nina,https://www.airbnb.com/users/show/17770287,"19","18",6,4.11,4.44
"1779791",Ariel,https://www.airbnb.com/users/show/1779791,"3","234",6,4.65,4.79
"17820079",Kent,https://www.airbnb.com/users/show/17820079,"1","191",6,4.67,4.71
"1812871",Karen,https://www.airbnb.com/users/show/1812871,"1","95",6,4.77,4.75
"181376",Carol,https://www.airbnb.com/users/show/181376,"5","177",6,4.74,4.62
"19066350",Eric,https://www.airbnb.com/users/show/19066350,"12","124",6,4.26,4.35
"195137",James,https://www.airbnb.com/users/show/195137,"9","123",6,4.36,4.5
"19810363",Eric,https://www.airbnb.com/users/show/19810363,"3","179",6,4.79,4.76
